term,lasso_est,lasso_sq_est,full_est,full_sq_est
kw_max_max,0,-0.014803245870547651,0.007616221824859198,-6.244123120528008e-4
kw_avg_max,-0.013769373047431904,-0.02541636309797129,-0.030524015738561512,-0.011866090268237603
kw_min_avg,-0.031955326589365535,-0.04552801903287164,-0.049585138876320545,-0.018594513182619374
kw_max_avg,-0.20670859004593523,-0.24341132189108844,-0.25267767438628796,-0.16607608102720464
kw_avg_avg,0.37544330939062953,0.4165260030163327,0.4316082595497198,0.3195426791910417
self_reference_min_shares,0.014280946563900266,0.007219028826755494,0.003386321230861083,0.014549434641232107
self_reference_max_shares,0,-0.013083847021259311,-0.016319234141640028,-0.0047502939756112585
self_reference_avg_sharess,0.031177105856203695,0.0487154707073102,0.056130275228521674,0.03579688880619629
weekday_is_monday,0.016106067564089388,0.01970271824596563,-0.08346267972974508,0.007200463813945307
weekday_is_tuesday,-0.0064680482416052225,-0.006947342064818358,-0.11457011721504012,-0.01913627944256917
weekday_is_wednesday,-0.0059669154897160044,-0.006119838282875662,-0.11369857472346229,-0.01860255964513178
weekday_is_thursday,0,0,-0.1062481640961034,-0.012057984313919676
weekday_is_friday,0.014729478784378625,0.017839447175446537,-0.07895918833743051,0.0068167165768780735
weekday_is_saturday,0,0,-0.0010402812582599988,0.027834212622616865
weekday_is_sunday,0,0.0011905590378897225,NA,0.029906009930745762
is_weekend,0.08897445272817443,0.09257560892909555,NA,0.04225078178331042
LDA_00,0.05927134436207983,0.0882953096570107,20.63544972553978,0.06591616249430372
LDA_01,-0.011757136028314762,-0.0042825170264792,17.130964936289857,-0.01578768570503275
LDA_02,-0.054408769952876315,-0.033261159071732355,22.04047252968497,-0.05515332053862192
LDA_03,0,-7.166293490478752e-5,23.035147454943967,-0.006997041924181149
LDA_04,0.008946851489734287,0.03425913306924473,22.539294522816846,0.013934422224479437
global_subjectivity,0.049031408440275495,0.04903097326752145,0.05199744331974513,0.05028600304795844
global_sentiment_polarity,0,-0.011120187181260132,-0.010919718579838884,-0.010316882049013518
global_rate_positive_words,-0.007973176354526238,-0.013550301512188664,-0.013194587949923117,-0.012143502702261636
global_rate_negative_words,-0.0018316341436604845,-0.0034260141511010408,-0.003031669301509648,-0.0030955526198378964
rate_positive_words,0,0.0013949648560462667,0.02537179127111904,0.001347319934896038
rate_negative_words,0,-0.010719881735475306,0.008861379500091802,-0.009803967966789381
avg_positive_polarity,0,0.0065132934256677925,0.008886728980052458,0.0060311363134339
min_positive_polarity,-0.016514775936788285,-0.022854512121987976,-0.021960885140537616,-0.02102253105389
max_positive_polarity,-0.007600293374923756,-0.014100659288510316,-0.015939007028947676,-0.012872102022337855
avg_negative_polarity,-0.010752516727567397,-0.01015622060409998,-0.012564851830758688,-0.010707929385008462
min_negative_polarity,0,-0.003798958017378928,-2.9449684449211577e-4,-0.0033980649395622593
max_negative_polarity,0,0.00228653481482466,0.002406387221913231,0.0017320623729779716
title_subjectivity,0.015441311286706968,0.01872863101631902,0.01878416247902852,0.01825274290197229
title_sentiment_polarity,0.017236013030477608,0.019743984555194598,0.019787012970160577,0.01916953140235889
abs_title_subjectivity,0.01858925378040758,0.023332549946016856,0.023178243623239867,0.022679683130392456
abs_title_sentiment_polarity,0.008857850132682608,0.008939026680629639,0.008983983843138317,0.009616244957387292
timedelta_sq,NA,-0.12774147045038162,NA,-0.05251071489532956
n_tokens_title_sq,NA,0.036960831078791306,NA,0.019034711945942553
n_tokens_content_sq,NA,0.036082804795353245,NA,0.03238562478191867
num_hrefs_sq,NA,-0.010387246166209823,NA,-0.008318422703212414
num_self_hrefs_sq,NA,-0.005859147988832614,NA,-0.007333531055217033
num_imgs_sq,NA,-0.041939913139193395,NA,-0.038347169785449706
num_videos_sq,NA,-0.028081325144963632,NA,-0.023766906528595647
average_token_length_sq,NA,-0.029203825943404548,NA,-0.02098876337125992
num_keywords_sq,NA,-0.16255702020122692,NA,-0.04193574401093832
